data_set_id,col_id,col_name_old,col_name_new,col_type,comments
hb_03b_archived,16,Golden Jubilee National Hospital,The Golden Jubilee National Hospital,text,
hb_03b_archived,17,Scotland total,Scotland (Total),skip,
sc_01_archived,1,Date,Date,date,
sc_01_archived,2,NHS24 111 Calls,Calls - NHS24 111,numeric,
sc_01_archived,3,Coronavirus Helpline Calls,Calls - Coronavirus helpline,numeric,
sc_02,1,Reporting Date,Date,date,
sc_02,2,(i) COVID-19 patients in ICU or combined ICU/HDU (with length of stay 28 days or less),COVID-19 patients in ICU - Confirmed - Length of stay 28 days or less,numeric,
sc_02,3,(ii) COVID-19 patients in hospital (including those in ICU) (with length of stay 28 days or less),COVID-19 patients in hospital - Confirmed - Length of stay 28 days or less,numeric,
sc_02,3,(iii) COVID-19 patients in ICU or combined ICU/HDU (with length of stay more than 28 days),COVID-19 patients in ICU - Confirmed - Length of stay more than 28 days,numeric,
sc_02_archived,1,,Date,date,
sc_02_archived,2,Confirmed,COVID-19 patients in ICU - Confirmed (archived),numeric,
sc_02_archived,3,Suspected,COVID-19 patients in ICU - Suspected (archived),numeric,
sc_02_archived,4,Total,COVID-19 patients in ICU - Total (archived),numeric,
sc_02_archived,5,Confirmed,COVID-19 patients in hospital - Confirmed (archived),numeric,
sc_02_archived,6,Suspected,COVID-19 patients in hospital - Suspected (archived),numeric,
sc_02_archived,7,Total,COVID-19 patients in hospital - Total (archived),numeric,
sc_03_archived,1,Date,Date,date,
sc_03_archived,2,Number of attendances,Ambulance attendances - Total,numeric,
sc_03_archived,3,Number of COVID-19 suspected attendances,Ambulance attendances - COVID-19 suspected,numeric,
sc_03_archived,4,Number of suspected COVID-19 patients taken to hospital,Ambulance attendances - COVID-19 suspected patients taken to hospital,numeric,
sc_04,1,Date,Date,date,
sc_04,2,Number of delayed discharges,Delayed discharges,numeric,
sc_05a,1,,Date,date,"""col_name_old"" intentionally left blank."
sc_05a,2,PCR Only ,Testing (PCR & LFD) - New cases reported daily - PCR only,numeric,
sc_05a,3,LFD followed by PCR,Testing (PCR & LFD) - New cases reported daily - LFD followed by PCR,numeric,
sc_05a,4,LFD only,Testing (PCR & LFD) - New cases reported daily - LFD only,numeric,
sc_05a,5,(either PCR or LFD),Testing (PCR & LFD) - Total number of positive cases (either PCR or LFD),numeric,
sc_05a,6,(either PCR or LFD),Testing (PCR & LFD) - Total unmber of positive cases in the last 7 days (either PCR or LFD),numeric,
sc_05b,1,,Date,date,
sc_05b,2,Negative,Testing (PCR)- Cumulative people tested for COVID-19 - Negative,numeric,
sc_05b,3,Positive,Testing (PCR) - Cumulative people tested for COVID-19 - Positive,numeric,
sc_05b,4,Total,Testing (PCR) - Cumulative people tested for COVID-19 - Total,numeric,
sc_05b,5,Daily,Testing (PCR) - New cases reported,numeric,
sc_05b,6,,Testing (PCR) - New cases as percentage of people newly tested,numeric,
sc_05b,7,Daily,Testing (PCR) - Total number of COVID-19 tests reported by NHS Labs - Daily,numeric,
sc_05b,8,Cumulative,Testing (PCR) - Total number of COVID-19 tests reported by NHS Labs - Cumulative,numeric,
sc_05b,9,Daily,Testing (PCR) - Total number of COVID-19 tests reported by UK Gov testing programme - Daily,numeric,
sc_05b,10,Cumulative,Testing (PCR) - Total number of COVID-19 tests reported by UK Gov testing programme - Cumulative,numeric,
sc_05b,11,,Testing (PCR) - Total daily tests reported,numeric,
sc_05b,12,,Testing (PCR) - Total daily number of positive tests reported,numeric,
sc_05b,13,,Testing (PCR) - Test positivity (percent of tests that are positive),numeric,
sc_05b,14,,Testing (PCR) - People with first test results in last 7 days,numeric,
sc_05b,15,,Testing (PCR) - Positive cases reported in last 7 days,numeric,
sc_05b,16,,Testing (PCR) - Tests reported in last 7 days,numeric,
sc_05b,17,,Testing (PCR) - Positive tests reported in last 7 days,numeric,
sc_05b,18,,Testing (PCR) - Test positivity rate in last 7 days,numeric,
sc_05b,19,,Testing (PCR) - Tests in last 7 days per 1000 population,numeric,
sc_06_1,1,Date,Date,date,
sc_06_1,2,Nursing and midwifery absences,NHS workforce COVID-19 absences - Nursing and midwifery staff - Daily (Archived),numeric,
sc_06_1,3,Medical and dental staff absences,NHS workforce COVID-19 absences - Medical and dental staff - Daily (Archived),numeric,
sc_06_1,4,Other staff absences,NHS workforce COVID-19 absences - Other staff - Daily (Archived),numeric,
sc_06_1,5,All staff absences,NHS workforce COVID-19 absences - All staff - Daily (Archived),numeric,
sc_06_2,1,Weekly Ave,Date,text,Date field erroneously contains text.
sc_06_2,2,,NHS workforce COVID-19 absences - Nursing and midwifery staff - Weekly average,numeric,"""col_name_old"" intentionally left blank."
sc_06_2,3,,NHS workforce COVID-19 absences - Medical and dental staff - Weekly average,numeric,"""col_name_old"" intentionally left blank."
sc_06_2,4,,NHS workforce COVID-19 absences - Other staff - Weekly average,numeric,"""col_name_old"" intentionally left blank."
sc_06_2,5,,NHS workforce COVID-19 absences - All staff - Weekly average,numeric,"""col_name_old"" intentionally left blank."
sc_07a,1,Week,Date,text,
sc_07a,2,Number of resident confirmed positive cases in all Scottish care homes,Care homes - All care homes - Residents - Weekly positive cases,numeric,
sc_07a,3,Number of staff confirmed positive cases in all Scottish care homes,Care homes - All care homes - Staff - Weekly positive cases,numeric,
sc_07b,1,Date,Date,date,
sc_07b,2,No. of staff reported as absent in adult care homes,Adult care homes - Number of staff reported as absent,numeric,
sc_07b,3,Adult care homes which submitted a return,Adult care homes - Adult care homes which submitted a return,numeric,
sc_07b,4,Response rate,Adult care homes - Response rate,numeric,
sc_07b,5,Total no. of staff in adult care homes which submitted a return,Adult care homes - Total number of staff in adult care homes which submitted a return,numeric,
sc_07b,6,Staff absence rate,Adult care homes - Staff absence rate,numeric,
sc_07c,1,Date,Date,date,
sc_07c,2,Number of adult care homes with current case of suspected COVID-19,Care homes - Adult care homes - Number of homes with suspected cases,numeric,
sc_07c,3,Proportion of all adult care homes with current case of suspected COVID-19,Care homes - Adult care homes - Proportion of homes with suspected cases,numeric,
sc_08,1,Date,Date,date,
sc_08,2,Number of COVID-19 confirmed deaths registered to date,Number of COVID-19 confirmed deaths registered to date,numeric,
sc_09_1,1,Date,Date,date,
sc_09_1,2,Number of pupils not in school because of Covid-19 related reasons,Schools - Number of pupils absent due to COVID-19 related reasons,numeric,
sc_09_1,3,Percentage attendance,Schools - Percentage attendance,numeric,
sc_09_1,4,"Percentage of openings where pupils were not in school for non COVID-19 related reasons (authorised and unauthorised, including exclusions)","Schools - Percentage absence - Percentage of openings where pupils were not in school - Not related to COVID-19 (authorised and unauthorised, including exclusions)",numeric,
sc_09_1,5,Percentage of openings where pupils were not in school because of Covid-19 related reasons,Schools - Percentage absence - Percentage of openings where pupils were not in school - Related to COVID-19,numeric,
sc_09a_archived,1,Date,Date,date,
sc_09a_archived,2,Number of pupils not in school because of Covid-19 related reasons,Schools - Number of pupils absent due to COVID-19 related reasons,numeric,
sc_09a_archived,3,Percentage attendance,Schools - Percentage attendance,skip,This data is repeated in table sc_09b_archived.
sc_09a_archived,4,"Percentage of openings where pupils were not in school for non COVID-19 related reasons (authorised and unauthorised, including exclusions)","Schools - Percentage absence - Percentage of openings where pupils were not in school - Not related to COVID-19 (authorised and unauthorised, including exclusions)",numeric,
sc_09a_archived,5,Percentage of openings where pupils were not in school because of Covid-19 related reasons,Schools - Percentage absence - Percentage of openings where pupils were not in school - Related to COVID-19,numeric,
sc_09b_archived,1,,Date,date,
sc_09b_archived,2,All,Schools - Percentage attendance - All,numeric,
sc_09b_archived,3,Primary,Schools - Percentage attendance - Primary,numeric,
sc_09b_archived,4,Secondary,Schools - Percentage attendance - Secondary,numeric,
sc_09b_archived,5,Special,Schools - Percentage attendance - Special,numeric,
sc_10a,1,Date,Date,date,
sc_10a,2,Number of people who have received the first dose of the Covid vaccination,Vaccinations - Number of people who have received first dose,numeric,
sc_10a,3,Number of people who have received the second dose of the Covid vaccination,Vaccinations - Number of people who have received second dose,numeric,
sc_10b,1,,Date,date,
sc_10b,2,Number vaccinated,Vaccinations - By JCVI priority group - Care home residents - Number vaccinated with first dose,numeric,
sc_10b,3,Estimated population of residents in older adult care homes,,skip,
sc_10b,4,% Vaccinated for residents in older adult care homes,,skip,
sc_10b,5,Estimated population of residents in all care homes,,skip,
sc_10b,6,% Vaccinated for residents in all care homes,,skip,
sc_10b,7,Number vaccinated,Vaccinations - By JCVI priority group - Care home staff - Number vaccinated with first dose,numeric,
sc_10b,8,Estimated population of staff in older adult care homes,,skip,
sc_10b,9,% Vaccinated for staff in older adult care homes,,skip,
sc_10b,10,Estimated population of staff in all care homes,,skip,
sc_10b,11,% Vaccinated for staff in all care homes,,skip,
sc_10b,12,Number vaccinated,Vaccinations - By JCVI priority group - Individuals aged 80 or over living in the community - Number vaccinated,numeric,
sc_10b,13,Estimated population,,skip,
sc_10b,14,% Vaccinated,,skip,
sc_10b,15,Number vaccinated,Vaccinations - By JCVI priority group - Frontline health and social care workers - Number vaccinated with first dose,numeric,
sc_10b,16,Estimated population,,skip,
sc_10b,17,% Vaccinated,,skip,
sc_10b,18,Number vaccinated,Vaccinations - By JCVI priority group - Individuals aged 75 to 79 living in the community - Number vaccinated with first dose,numeric,
sc_10b,19,Estimated population,,skip,
sc_10b,20,% Vaccinated,,skip,
sc_10b,21,Number vaccinated,Vaccinations - By JCVI priority group - Individuals aged 70 to 74 living in the community - Number vaccinated with first dose,numeric,
sc_10b,22,Estimated population,,skip,
sc_10b,23,% Vaccinated,,skip,
sc_10b,24,Number vaccinated,Vaccinations - By JCVI priority group - Clinically extremely vulnerable - Number vaccinated with first dose,numeric,
sc_10b,25,Estimated population,,skip,
sc_10b,26,% Vaccinated,,skip,
sc_10b,27,,,skip,Empty column.
sc_10b,28,Number vaccinated with 2nd dose,Vaccinations - By JCVI priority group - Care home residents - Number vaccinated with second dose,numeric,
sc_10b,29,Estimated population of residents in older adult care homes,,skip,
sc_10b,30,% Vaccinated for residents in older adult care homes,,skip,
sc_10b,31,Estimated population of residents in all care homes,,skip,
sc_10b,32,% Vaccinated for residents in all care homes,,skip,
sc_10c,1,,Date,date,
sc_10c,2,Number vaccinated,Vaccinations - By age group - Age 80 or over - Number vaccinated with first dose,numeric,
sc_10c,3,Estimated population,,skip,
sc_10c,4,% Vaccinated,,skip,
sc_10c,5,Number vaccinated,Vaccinations - By age group - Age 75 to 79 - Number vaccinated with first dose,numeric,
sc_10c,6,Estimated population,,skip,
sc_10c,7,% Vaccinated,,skip,
sc_10c,8,Number vaccinated,Vaccinations - By age group - Age 70 to 74 - Number vaccinated with first dose,numeric,
sc_10c,9,Estimated population,,skip,
sc_10c,10,% Vaccinated,,skip,
sc_10c,11,Number vaccinated,Vaccinations - By age group - Age 65 to 69 - Number vaccinated with first dose,numeric,
sc_10c,12,Estimated population,,skip,
sc_10c,13,% Vaccinated,,skip,
sc_11,1,Date,Date,date,
sc_11,2,Total number of doses allocated:,Vaccine supply - Total number of doses allocated,numeric,
sc_11,3,Total number of doses delivered,Vaccine supply - Total number of doses delivered,numeric,
sc_12_1,1,Date,Date,date,
sc_12_1,2,Cumulative total of students who have tested positive this semester ,Students - Universities - Positive tests - Cumulative,numeric,
sc_12_1,3,New cases reported since last week,Students - Universities - Positive cases - Weekly,numeric,
sc_12_1,4,Average daily increase (7-day average),Students - Universities - Positive cases - Daily Average,numeric,
sc_12_2,1,Date,Date,date,
sc_12_2,2,Cumulative total of students who have tested positive,Students - Colleges - Positive tests - Cumulative,numeric,
sc_12_2,3,New cases reported since last return,Students - Colleges - Positive cases - Weekly,numeric,
sc_12_2,4,Average daily increase (7-day average),Students - Colleges - Positive cases - Daily Average,numeric,
