GeographyCode,DateCode,Measurement,Units,Value,Variable
S92000003,2020-05-05,Count,Calls - NHS24 111,3159,Calls - NHS24 111
S92000003,2020-05-06,Count,Calls - NHS24 111,2940,Calls - NHS24 111
S92000003,2020-05-07,Count,Calls - NHS24 111,2944,Calls - NHS24 111
S92000003,2020-05-08,Count,Calls - NHS24 111,3085,Calls - NHS24 111
S92000003,2020-05-09,Count,Calls - NHS24 111,7605,Calls - NHS24 111
S92000003,2020-05-10,Count,Calls - NHS24 111,6532,Calls - NHS24 111
S92000003,2020-05-11,Count,Calls - NHS24 111,3084,Calls - NHS24 111
S92000003,2020-05-12,Count,Calls - NHS24 111,2883,Calls - NHS24 111
S92000003,2020-05-13,Count,Calls - NHS24 111,2767,Calls - NHS24 111
S92000003,2020-05-14,Count,Calls - NHS24 111,2763,Calls - NHS24 111
S92000003,2020-05-15,Count,Calls - NHS24 111,2845,Calls - NHS24 111
S92000003,2020-05-16,Count,Calls - NHS24 111,7433,Calls - NHS24 111
S92000003,2020-05-17,Count,Calls - NHS24 111,6524,Calls - NHS24 111
S92000003,2020-05-18,Count,Calls - NHS24 111,3463,Calls - NHS24 111
S92000003,2020-05-19,Count,Calls - NHS24 111,3196,Calls - NHS24 111
S92000003,2020-05-20,Count,Calls - NHS24 111,2912,Calls - NHS24 111
S92000003,2020-05-21,Count,Calls - NHS24 111,2925,Calls - NHS24 111
S92000003,2020-05-22,Count,Calls - NHS24 111,3055,Calls - NHS24 111
S92000003,2020-05-23,Count,Calls - NHS24 111,7122,Calls - NHS24 111
S92000003,2020-05-24,Count,Calls - NHS24 111,6862,Calls - NHS24 111
S92000003,2020-05-25,Count,Calls - NHS24 111,3168,Calls - NHS24 111
S92000003,2020-05-26,Count,Calls - NHS24 111,2876,Calls - NHS24 111
S92000003,2020-05-27,Count,Calls - NHS24 111,2637,Calls - NHS24 111
S92000003,2020-05-28,Count,Calls - NHS24 111,2615,Calls - NHS24 111
S92000003,2020-05-29,Count,Calls - NHS24 111,2747,Calls - NHS24 111
S92000003,2020-05-30,Count,Calls - NHS24 111,7063,Calls - NHS24 111
S92000003,2020-05-31,Count,Calls - NHS24 111,6531,Calls - NHS24 111
S92000003,2020-06-01,Count,Calls - NHS24 111,3011,Calls - NHS24 111
S92000003,2020-06-02,Count,Calls - NHS24 111,2651,Calls - NHS24 111
S92000003,2020-06-03,Count,Calls - NHS24 111,2801,Calls - NHS24 111
S92000003,2020-06-04,Count,Calls - NHS24 111,2722,Calls - NHS24 111
S92000003,2020-06-05,Count,Calls - NHS24 111,2834,Calls - NHS24 111
S92000003,2020-06-06,Count,Calls - NHS24 111,7437,Calls - NHS24 111
S92000003,2020-06-07,Count,Calls - NHS24 111,6555,Calls - NHS24 111
S92000003,2020-06-08,Count,Calls - NHS24 111,2976,Calls - NHS24 111
S92000003,2020-06-09,Count,Calls - NHS24 111,2681,Calls - NHS24 111
S92000003,2020-06-10,Count,Calls - NHS24 111,2449,Calls - NHS24 111
S92000003,2020-06-11,Count,Calls - NHS24 111,2589,Calls - NHS24 111
S92000003,2020-06-12,Count,Calls - NHS24 111,2688,Calls - NHS24 111
S92000003,2020-06-13,Count,Calls - NHS24 111,7036,Calls - NHS24 111
S92000003,2020-06-14,Count,Calls - NHS24 111,6551,Calls - NHS24 111
S92000003,2020-06-15,Count,Calls - NHS24 111,2971,Calls - NHS24 111
S92000003,2020-06-16,Count,Calls - NHS24 111,2771,Calls - NHS24 111
S92000003,2020-06-17,Count,Calls - NHS24 111,2696,Calls - NHS24 111
S92000003,2020-06-18,Count,Calls - NHS24 111,2536,Calls - NHS24 111
S92000003,2020-06-19,Count,Calls - NHS24 111,2748,Calls - NHS24 111
S92000003,2020-06-20,Count,Calls - NHS24 111,6896,Calls - NHS24 111
S92000003,2020-06-21,Count,Calls - NHS24 111,6473,Calls - NHS24 111
S92000003,2020-06-22,Count,Calls - NHS24 111,2890,Calls - NHS24 111
S92000003,2020-06-23,Count,Calls - NHS24 111,2578,Calls - NHS24 111
S92000003,2020-06-24,Count,Calls - NHS24 111,2730,Calls - NHS24 111
S92000003,2020-06-25,Count,Calls - NHS24 111,2661,Calls - NHS24 111
S92000003,2020-06-26,Count,Calls - NHS24 111,2899,Calls - NHS24 111
S92000003,2020-06-27,Count,Calls - NHS24 111,7675,Calls - NHS24 111
S92000003,2020-06-28,Count,Calls - NHS24 111,6590,Calls - NHS24 111
S92000003,2020-06-29,Count,Calls - NHS24 111,2832,Calls - NHS24 111
S92000003,2020-06-30,Count,Calls - NHS24 111,2594,Calls - NHS24 111
S92000003,2020-07-01,Count,Calls - NHS24 111,2573,Calls - NHS24 111
S92000003,2020-07-02,Count,Calls - NHS24 111,2518,Calls - NHS24 111
S92000003,2020-07-03,Count,Calls - NHS24 111,2686,Calls - NHS24 111
S92000003,2020-07-04,Count,Calls - NHS24 111,6894,Calls - NHS24 111
S92000003,2020-07-05,Count,Calls - NHS24 111,6445,Calls - NHS24 111
S92000003,2020-03-17,Count,Calls - Coronavirus helpline,6772,Calls - Coronavirus helpline
S92000003,2020-03-18,Count,Calls - Coronavirus helpline,4930,Calls - Coronavirus helpline
S92000003,2020-03-19,Count,Calls - Coronavirus helpline,3271,Calls - Coronavirus helpline
S92000003,2020-03-20,Count,Calls - Coronavirus helpline,2693,Calls - Coronavirus helpline
S92000003,2020-03-21,Count,Calls - Coronavirus helpline,1304,Calls - Coronavirus helpline
S92000003,2020-03-22,Count,Calls - Coronavirus helpline,1824,Calls - Coronavirus helpline
S92000003,2020-03-23,Count,Calls - Coronavirus helpline,6895,Calls - Coronavirus helpline
S92000003,2020-03-24,Count,Calls - Coronavirus helpline,3959,Calls - Coronavirus helpline
S92000003,2020-03-25,Count,Calls - Coronavirus helpline,3030,Calls - Coronavirus helpline
S92000003,2020-03-26,Count,Calls - Coronavirus helpline,2490,Calls - Coronavirus helpline
S92000003,2020-03-27,Count,Calls - Coronavirus helpline,2015,Calls - Coronavirus helpline
S92000003,2020-03-28,Count,Calls - Coronavirus helpline,925,Calls - Coronavirus helpline
S92000003,2020-03-29,Count,Calls - Coronavirus helpline,861,Calls - Coronavirus helpline
S92000003,2020-03-30,Count,Calls - Coronavirus helpline,2469,Calls - Coronavirus helpline
S92000003,2020-03-31,Count,Calls - Coronavirus helpline,1415,Calls - Coronavirus helpline
S92000003,2020-04-01,Count,Calls - Coronavirus helpline,1255,Calls - Coronavirus helpline
S92000003,2020-04-02,Count,Calls - Coronavirus helpline,1233,Calls - Coronavirus helpline
S92000003,2020-04-03,Count,Calls - Coronavirus helpline,1146,Calls - Coronavirus helpline
S92000003,2020-04-04,Count,Calls - Coronavirus helpline,538,Calls - Coronavirus helpline
S92000003,2020-04-05,Count,Calls - Coronavirus helpline,464,Calls - Coronavirus helpline
S92000003,2020-04-06,Count,Calls - Coronavirus helpline,1246,Calls - Coronavirus helpline
S92000003,2020-04-07,Count,Calls - Coronavirus helpline,984,Calls - Coronavirus helpline
S92000003,2020-04-08,Count,Calls - Coronavirus helpline,907,Calls - Coronavirus helpline
S92000003,2020-04-09,Count,Calls - Coronavirus helpline,791,Calls - Coronavirus helpline
S92000003,2020-04-10,Count,Calls - Coronavirus helpline,595,Calls - Coronavirus helpline
S92000003,2020-04-11,Count,Calls - Coronavirus helpline,286,Calls - Coronavirus helpline
S92000003,2020-04-12,Count,Calls - Coronavirus helpline,271,Calls - Coronavirus helpline
S92000003,2020-04-13,Count,Calls - Coronavirus helpline,506,Calls - Coronavirus helpline
S92000003,2020-04-14,Count,Calls - Coronavirus helpline,679,Calls - Coronavirus helpline
S92000003,2020-04-15,Count,Calls - Coronavirus helpline,626,Calls - Coronavirus helpline
S92000003,2020-04-16,Count,Calls - Coronavirus helpline,581,Calls - Coronavirus helpline
S92000003,2020-04-17,Count,Calls - Coronavirus helpline,499,Calls - Coronavirus helpline
S92000003,2020-04-18,Count,Calls - Coronavirus helpline,193,Calls - Coronavirus helpline
S92000003,2020-04-19,Count,Calls - Coronavirus helpline,152,Calls - Coronavirus helpline
S92000003,2020-04-20,Count,Calls - Coronavirus helpline,520,Calls - Coronavirus helpline
S92000003,2020-04-21,Count,Calls - Coronavirus helpline,380,Calls - Coronavirus helpline
S92000003,2020-04-22,Count,Calls - Coronavirus helpline,420,Calls - Coronavirus helpline
S92000003,2020-04-23,Count,Calls - Coronavirus helpline,364,Calls - Coronavirus helpline
S92000003,2020-04-24,Count,Calls - Coronavirus helpline,385,Calls - Coronavirus helpline
S92000003,2020-04-25,Count,Calls - Coronavirus helpline,158,Calls - Coronavirus helpline
S92000003,2020-04-26,Count,Calls - Coronavirus helpline,140,Calls - Coronavirus helpline
S92000003,2020-04-27,Count,Calls - Coronavirus helpline,495,Calls - Coronavirus helpline
S92000003,2020-04-28,Count,Calls - Coronavirus helpline,440,Calls - Coronavirus helpline
S92000003,2020-04-29,Count,Calls - Coronavirus helpline,518,Calls - Coronavirus helpline
S92000003,2020-04-30,Count,Calls - Coronavirus helpline,490,Calls - Coronavirus helpline
S92000003,2020-05-01,Count,Calls - Coronavirus helpline,434,Calls - Coronavirus helpline
S92000003,2020-05-02,Count,Calls - Coronavirus helpline,196,Calls - Coronavirus helpline
S92000003,2020-05-03,Count,Calls - Coronavirus helpline,207,Calls - Coronavirus helpline
S92000003,2020-05-04,Count,Calls - Coronavirus helpline,554,Calls - Coronavirus helpline
S92000003,2020-05-05,Count,Calls - Coronavirus helpline,347,Calls - Coronavirus helpline
S92000003,2020-05-06,Count,Calls - Coronavirus helpline,304,Calls - Coronavirus helpline
S92000003,2020-05-07,Count,Calls - Coronavirus helpline,304,Calls - Coronavirus helpline
S92000003,2020-05-08,Count,Calls - Coronavirus helpline,273,Calls - Coronavirus helpline
S92000003,2020-05-09,Count,Calls - Coronavirus helpline,141,Calls - Coronavirus helpline
S92000003,2020-05-10,Count,Calls - Coronavirus helpline,135,Calls - Coronavirus helpline
S92000003,2020-05-11,Count,Calls - Coronavirus helpline,349,Calls - Coronavirus helpline
S92000003,2020-05-12,Count,Calls - Coronavirus helpline,293,Calls - Coronavirus helpline
S92000003,2020-05-13,Count,Calls - Coronavirus helpline,302,Calls - Coronavirus helpline
S92000003,2020-05-14,Count,Calls - Coronavirus helpline,265,Calls - Coronavirus helpline
S92000003,2020-05-15,Count,Calls - Coronavirus helpline,247,Calls - Coronavirus helpline
S92000003,2020-05-16,Count,Calls - Coronavirus helpline,110,Calls - Coronavirus helpline
S92000003,2020-05-17,Count,Calls - Coronavirus helpline,111,Calls - Coronavirus helpline
S92000003,2020-05-18,Count,Calls - Coronavirus helpline,359,Calls - Coronavirus helpline
S92000003,2020-05-19,Count,Calls - Coronavirus helpline,248,Calls - Coronavirus helpline
S92000003,2020-05-20,Count,Calls - Coronavirus helpline,219,Calls - Coronavirus helpline
S92000003,2020-05-21,Count,Calls - Coronavirus helpline,274,Calls - Coronavirus helpline
S92000003,2020-05-22,Count,Calls - Coronavirus helpline,232,Calls - Coronavirus helpline
S92000003,2020-05-23,Count,Calls - Coronavirus helpline,89,Calls - Coronavirus helpline
S92000003,2020-05-24,Count,Calls - Coronavirus helpline,106,Calls - Coronavirus helpline
S92000003,2020-05-25,Count,Calls - Coronavirus helpline,214,Calls - Coronavirus helpline
S92000003,2020-05-26,Count,Calls - Coronavirus helpline,248,Calls - Coronavirus helpline
S92000003,2020-05-27,Count,Calls - Coronavirus helpline,264,Calls - Coronavirus helpline
S92000003,2020-05-28,Count,Calls - Coronavirus helpline,414,Calls - Coronavirus helpline
S92000003,2020-05-29,Count,Calls - Coronavirus helpline,447,Calls - Coronavirus helpline
S92000003,2020-05-30,Count,Calls - Coronavirus helpline,197,Calls - Coronavirus helpline
S92000003,2020-05-31,Count,Calls - Coronavirus helpline,194,Calls - Coronavirus helpline
S92000003,2020-06-01,Count,Calls - Coronavirus helpline,476,Calls - Coronavirus helpline
S92000003,2020-06-02,Count,Calls - Coronavirus helpline,393,Calls - Coronavirus helpline
S92000003,2020-06-03,Count,Calls - Coronavirus helpline,441,Calls - Coronavirus helpline
S92000003,2020-06-04,Count,Calls - Coronavirus helpline,390,Calls - Coronavirus helpline
S92000003,2020-06-05,Count,Calls - Coronavirus helpline,472,Calls - Coronavirus helpline
S92000003,2020-06-06,Count,Calls - Coronavirus helpline,273,Calls - Coronavirus helpline
S92000003,2020-06-07,Count,Calls - Coronavirus helpline,148,Calls - Coronavirus helpline
S92000003,2020-06-08,Count,Calls - Coronavirus helpline,490,Calls - Coronavirus helpline
S92000003,2020-06-09,Count,Calls - Coronavirus helpline,434,Calls - Coronavirus helpline
S92000003,2020-06-10,Count,Calls - Coronavirus helpline,466,Calls - Coronavirus helpline
S92000003,2020-06-11,Count,Calls - Coronavirus helpline,391,Calls - Coronavirus helpline
S92000003,2020-06-12,Count,Calls - Coronavirus helpline,375,Calls - Coronavirus helpline
S92000003,2020-06-13,Count,Calls - Coronavirus helpline,177,Calls - Coronavirus helpline
S92000003,2020-06-14,Count,Calls - Coronavirus helpline,167,Calls - Coronavirus helpline
S92000003,2020-06-15,Count,Calls - Coronavirus helpline,433,Calls - Coronavirus helpline
S92000003,2020-06-16,Count,Calls - Coronavirus helpline,369,Calls - Coronavirus helpline
S92000003,2020-06-17,Count,Calls - Coronavirus helpline,370,Calls - Coronavirus helpline
S92000003,2020-06-18,Count,Calls - Coronavirus helpline,328,Calls - Coronavirus helpline
S92000003,2020-06-19,Count,Calls - Coronavirus helpline,366,Calls - Coronavirus helpline
S92000003,2020-06-20,Count,Calls - Coronavirus helpline,170,Calls - Coronavirus helpline
S92000003,2020-06-21,Count,Calls - Coronavirus helpline,150,Calls - Coronavirus helpline
S92000003,2020-06-22,Count,Calls - Coronavirus helpline,562,Calls - Coronavirus helpline
S92000003,2020-06-23,Count,Calls - Coronavirus helpline,626,Calls - Coronavirus helpline
S92000003,2020-06-24,Count,Calls - Coronavirus helpline,610,Calls - Coronavirus helpline
S92000003,2020-06-25,Count,Calls - Coronavirus helpline,431,Calls - Coronavirus helpline
S92000003,2020-06-26,Count,Calls - Coronavirus helpline,410,Calls - Coronavirus helpline
S92000003,2020-06-27,Count,Calls - Coronavirus helpline,218,Calls - Coronavirus helpline
S92000003,2020-06-28,Count,Calls - Coronavirus helpline,206,Calls - Coronavirus helpline
S92000003,2020-06-29,Count,Calls - Coronavirus helpline,515,Calls - Coronavirus helpline
S92000003,2020-06-30,Count,Calls - Coronavirus helpline,396,Calls - Coronavirus helpline
S92000003,2020-07-01,Count,Calls - Coronavirus helpline,383,Calls - Coronavirus helpline
S92000003,2020-07-02,Count,Calls - Coronavirus helpline,401,Calls - Coronavirus helpline
S92000003,2020-07-03,Count,Calls - Coronavirus helpline,437,Calls - Coronavirus helpline
S92000003,2020-07-04,Count,Calls - Coronavirus helpline,191,Calls - Coronavirus helpline
S92000003,2020-07-05,Count,Calls - Coronavirus helpline,164,Calls - Coronavirus helpline
S92000003,2020-03-27,Count,COVID-19 patients in ICU - Confirmed,62,COVID-19 patients in ICU - Confirmed
S92000003,2020-03-28,Count,COVID-19 patients in ICU - Confirmed,74,COVID-19 patients in ICU - Confirmed
S92000003,2020-03-29,Count,COVID-19 patients in ICU - Confirmed,85,COVID-19 patients in ICU - Confirmed
S92000003,2020-03-30,Count,COVID-19 patients in ICU - Confirmed,94,COVID-19 patients in ICU - Confirmed
S92000003,2020-03-31,Count,COVID-19 patients in ICU - Confirmed,123,COVID-19 patients in ICU - Confirmed
S92000003,2020-04-01,Count,COVID-19 patients in ICU - Confirmed,137,COVID-19 patients in ICU - Confirmed
S92000003,2020-04-02,Count,COVID-19 patients in ICU - Confirmed,144,COVID-19 patients in ICU - Confirmed
S92000003,2020-04-03,Count,COVID-19 patients in ICU - Confirmed,167,COVID-19 patients in ICU - Confirmed
S92000003,2020-04-04,Count,COVID-19 patients in ICU - Confirmed,184,COVID-19 patients in ICU - Confirmed
S92000003,2020-04-05,Count,COVID-19 patients in ICU - Confirmed,183,COVID-19 patients in ICU - Confirmed
S92000003,2020-04-06,Count,COVID-19 patients in ICU - Confirmed,190,COVID-19 patients in ICU - Confirmed
S92000003,2020-04-07,Count,COVID-19 patients in ICU - Confirmed,185,COVID-19 patients in ICU - Confirmed
S92000003,2020-04-08,Count,COVID-19 patients in ICU - Confirmed,193,COVID-19 patients in ICU - Confirmed
S92000003,2020-04-09,Count,COVID-19 patients in ICU - Confirmed,200,COVID-19 patients in ICU - Confirmed
S92000003,2020-04-10,Count,COVID-19 patients in ICU - Confirmed,197,COVID-19 patients in ICU - Confirmed
S92000003,2020-04-11,Count,COVID-19 patients in ICU - Confirmed,202,COVID-19 patients in ICU - Confirmed
S92000003,2020-04-12,Count,COVID-19 patients in ICU - Confirmed,208,COVID-19 patients in ICU - Confirmed
S92000003,2020-04-13,Count,COVID-19 patients in ICU - Confirmed,203,COVID-19 patients in ICU - Confirmed
S92000003,2020-04-14,Count,COVID-19 patients in ICU - Confirmed,192,COVID-19 patients in ICU - Confirmed
S92000003,2020-04-15,Count,COVID-19 patients in ICU - Confirmed,191,COVID-19 patients in ICU - Confirmed
S92000003,2020-04-16,Count,COVID-19 patients in ICU - Confirmed,191,COVID-19 patients in ICU - Confirmed
S92000003,2020-04-17,Count,COVID-19 patients in ICU - Confirmed,184,COVID-19 patients in ICU - Confirmed
S92000003,2020-04-18,Count,COVID-19 patients in ICU - Confirmed,178,COVID-19 patients in ICU - Confirmed
S92000003,2020-04-19,Count,COVID-19 patients in ICU - Confirmed,170,COVID-19 patients in ICU - Confirmed
S92000003,2020-04-20,Count,COVID-19 patients in ICU - Confirmed,167,COVID-19 patients in ICU - Confirmed
S92000003,2020-04-21,Count,COVID-19 patients in ICU - Confirmed,159,COVID-19 patients in ICU - Confirmed
S92000003,2020-04-22,Count,COVID-19 patients in ICU - Confirmed,147,COVID-19 patients in ICU - Confirmed
S92000003,2020-04-23,Count,COVID-19 patients in ICU - Confirmed,136,COVID-19 patients in ICU - Confirmed
S92000003,2020-04-24,Count,COVID-19 patients in ICU - Confirmed,136,COVID-19 patients in ICU - Confirmed
S92000003,2020-04-25,Count,COVID-19 patients in ICU - Confirmed,131,COVID-19 patients in ICU - Confirmed
S92000003,2020-04-26,Count,COVID-19 patients in ICU - Confirmed,126,COVID-19 patients in ICU - Confirmed
S92000003,2020-04-27,Count,COVID-19 patients in ICU - Confirmed,121,COVID-19 patients in ICU - Confirmed
S92000003,2020-04-28,Count,COVID-19 patients in ICU - Confirmed,114,COVID-19 patients in ICU - Confirmed
S92000003,2020-04-29,Count,COVID-19 patients in ICU - Confirmed,103,COVID-19 patients in ICU - Confirmed
S92000003,2020-04-30,Count,COVID-19 patients in ICU - Confirmed,101,COVID-19 patients in ICU - Confirmed
S92000003,2020-05-01,Count,COVID-19 patients in ICU - Confirmed,100,COVID-19 patients in ICU - Confirmed
S92000003,2020-05-02,Count,COVID-19 patients in ICU - Confirmed,97,COVID-19 patients in ICU - Confirmed
S92000003,2020-05-03,Count,COVID-19 patients in ICU - Confirmed,91,COVID-19 patients in ICU - Confirmed
S92000003,2020-05-04,Count,COVID-19 patients in ICU - Confirmed,91,COVID-19 patients in ICU - Confirmed
S92000003,2020-05-05,Count,COVID-19 patients in ICU - Confirmed,90,COVID-19 patients in ICU - Confirmed
S92000003,2020-05-06,Count,COVID-19 patients in ICU - Confirmed,79,COVID-19 patients in ICU - Confirmed
S92000003,2020-05-07,Count,COVID-19 patients in ICU - Confirmed,79,COVID-19 patients in ICU - Confirmed
S92000003,2020-05-08,Count,COVID-19 patients in ICU - Confirmed,75,COVID-19 patients in ICU - Confirmed
S92000003,2020-05-09,Count,COVID-19 patients in ICU - Confirmed,76,COVID-19 patients in ICU - Confirmed
S92000003,2020-05-10,Count,COVID-19 patients in ICU - Confirmed,75,COVID-19 patients in ICU - Confirmed
S92000003,2020-05-11,Count,COVID-19 patients in ICU - Confirmed,72,COVID-19 patients in ICU - Confirmed
S92000003,2020-05-12,Count,COVID-19 patients in ICU - Confirmed,69,COVID-19 patients in ICU - Confirmed
S92000003,2020-05-13,Count,COVID-19 patients in ICU - Confirmed,64,COVID-19 patients in ICU - Confirmed
S92000003,2020-05-14,Count,COVID-19 patients in ICU - Confirmed,61,COVID-19 patients in ICU - Confirmed
S92000003,2020-05-15,Count,COVID-19 patients in ICU - Confirmed,53,COVID-19 patients in ICU - Confirmed
S92000003,2020-05-16,Count,COVID-19 patients in ICU - Confirmed,49,COVID-19 patients in ICU - Confirmed
S92000003,2020-05-17,Count,COVID-19 patients in ICU - Confirmed,46,COVID-19 patients in ICU - Confirmed
S92000003,2020-05-18,Count,COVID-19 patients in ICU - Confirmed,46,COVID-19 patients in ICU - Confirmed
S92000003,2020-05-19,Count,COVID-19 patients in ICU - Confirmed,47,COVID-19 patients in ICU - Confirmed
S92000003,2020-05-20,Count,COVID-19 patients in ICU - Confirmed,44,COVID-19 patients in ICU - Confirmed
S92000003,2020-05-21,Count,COVID-19 patients in ICU - Confirmed,43,COVID-19 patients in ICU - Confirmed
S92000003,2020-05-22,Count,COVID-19 patients in ICU - Confirmed,38,COVID-19 patients in ICU - Confirmed
S92000003,2020-05-23,Count,COVID-19 patients in ICU - Confirmed,36,COVID-19 patients in ICU - Confirmed
S92000003,2020-05-24,Count,COVID-19 patients in ICU - Confirmed,33,COVID-19 patients in ICU - Confirmed
S92000003,2020-05-25,Count,COVID-19 patients in ICU - Confirmed,29,COVID-19 patients in ICU - Confirmed
S92000003,2020-05-26,Count,COVID-19 patients in ICU - Confirmed,27,COVID-19 patients in ICU - Confirmed
S92000003,2020-05-27,Count,COVID-19 patients in ICU - Confirmed,28,COVID-19 patients in ICU - Confirmed
S92000003,2020-05-28,Count,COVID-19 patients in ICU - Confirmed,26,COVID-19 patients in ICU - Confirmed
S92000003,2020-05-29,Count,COVID-19 patients in ICU - Confirmed,25,COVID-19 patients in ICU - Confirmed
S92000003,2020-05-30,Count,COVID-19 patients in ICU - Confirmed,25,COVID-19 patients in ICU - Confirmed
S92000003,2020-05-31,Count,COVID-19 patients in ICU - Confirmed,20,COVID-19 patients in ICU - Confirmed
S92000003,2020-06-01,Count,COVID-19 patients in ICU - Confirmed,20,COVID-19 patients in ICU - Confirmed
S92000003,2020-06-02,Count,COVID-19 patients in ICU - Confirmed,20,COVID-19 patients in ICU - Confirmed
S92000003,2020-06-03,Count,COVID-19 patients in ICU - Confirmed,20,COVID-19 patients in ICU - Confirmed
S92000003,2020-06-04,Count,COVID-19 patients in ICU - Confirmed,18,COVID-19 patients in ICU - Confirmed
S92000003,2020-06-05,Count,COVID-19 patients in ICU - Confirmed,16,COVID-19 patients in ICU - Confirmed
S92000003,2020-06-06,Count,COVID-19 patients in ICU - Confirmed,16,COVID-19 patients in ICU - Confirmed
S92000003,2020-06-07,Count,COVID-19 patients in ICU - Confirmed,16,COVID-19 patients in ICU - Confirmed
S92000003,2020-06-08,Count,COVID-19 patients in ICU - Confirmed,16,COVID-19 patients in ICU - Confirmed
S92000003,2020-06-09,Count,COVID-19 patients in ICU - Confirmed,15,COVID-19 patients in ICU - Confirmed
S92000003,2020-06-10,Count,COVID-19 patients in ICU - Confirmed,15,COVID-19 patients in ICU - Confirmed
S92000003,2020-06-11,Count,COVID-19 patients in ICU - Confirmed,15,COVID-19 patients in ICU - Confirmed
S92000003,2020-06-12,Count,COVID-19 patients in ICU - Confirmed,15,COVID-19 patients in ICU - Confirmed
S92000003,2020-06-13,Count,COVID-19 patients in ICU - Confirmed,13,COVID-19 patients in ICU - Confirmed
S92000003,2020-06-14,Count,COVID-19 patients in ICU - Confirmed,11,COVID-19 patients in ICU - Confirmed
S92000003,2020-06-15,Count,COVID-19 patients in ICU - Confirmed,12,COVID-19 patients in ICU - Confirmed
